Date,CD_ACAO,Close,Close,Close
,,ABEV3.SA,ASAI3.SA,AXIA3.SA
2025-01-16,ASAI3.SA,,5.566502094268799,
2025-01-17,ASAI3.SA,,5.73399019241333,
2025-01-20,ASAI3.SA,,6.009851932525635,
2025-01-21,ASAI3.SA,,6.029556751251221,
2025-01-22,ASAI3.SA,,6.236452579498291,
2025-01-23,ASAI3.SA,,6.108373641967773,
2025-01-24,ASAI3.SA,,6.059113502502441,
2025-01-27,ASAI3.SA,,6.522167205810547,
2025-01-28,ASAI3.SA,,6.42364501953125,
2025-01-29,ASAI3.SA,,6.403940677642822,
2025-01-30,ASAI3.SA,,6.738916397094727,
2025-01-31,ASAI3.SA,,6.6403937339782715,
2025-02-03,ASAI3.SA,,6.758620738983154,
2025-02-04,ASAI3.SA,,6.660098552703857,
2025-02-05,ASAI3.SA,,6.738916397094727,
2025-02-06,ASAI3.SA,,6.876846790313721,
2025-02-07,ASAI3.SA,,6.95566463470459,
2025-02-10,ASAI3.SA,,6.896551132202148,
2025-02-11,ASAI3.SA,,7.024630546569824,
2025-02-12,ASAI3.SA,,7.024630546569824,
2025-02-13,ASAI3.SA,,7.192118167877197,
2025-02-14,ASAI3.SA,,7.369458198547363,
2025-02-17,ASAI3.SA,,7.665024280548096,
2025-02-18,ASAI3.SA,,7.22167444229126,
2025-02-19,ASAI3.SA,,6.995073318481445,
2025-02-20,ASAI3.SA,,6.876846790313721,
2025-02-21,ASAI3.SA,,6.837438106536865,
2025-02-24,ASAI3.SA,,6.699507713317871,
2025-02-25,ASAI3.SA,,7.014777660369873,
2025-02-26,ASAI3.SA,,6.935960292816162,
2025-02-27,ASAI3.SA,,6.768472671508789,
2025-02-28,ASAI3.SA,,6.571428298950195,
2025-03-05,ASAI3.SA,,6.472906589508057,
2025-03-06,ASAI3.SA,,6.344827175140381,
2025-03-07,ASAI3.SA,,6.699507713317871,
2025-03-10,ASAI3.SA,,6.965517044067383,
2025-03-11,ASAI3.SA,,6.995073318481445,
2025-03-12,ASAI3.SA,,7.034482479095459,
2025-03-13,ASAI3.SA,,7.054186820983887,
2025-03-14,ASAI3.SA,,7.4384236335754395,
2025-03-17,ASAI3.SA,,7.615763187408447,
2025-03-18,ASAI3.SA,,7.4384236335754395,
2025-03-19,ASAI3.SA,,7.625615119934082,
2025-03-20,ASAI3.SA,,7.536945343017578,
2025-03-21,ASAI3.SA,,7.46798038482666,
2025-03-24,ASAI3.SA,,7.399014949798584,
2025-03-25,ASAI3.SA,,7.487684726715088,
2025-03-26,ASAI3.SA,,7.881772994995117,
2025-03-27,ASAI3.SA,,7.911329746246338,
2025-03-28,ASAI3.SA,,7.763546466827393,
2025-03-31,ASAI3.SA,,7.4285712242126465,
2025-04-01,ASAI3.SA,,7.842364311218262,
2025-04-02,ASAI3.SA,,7.950738430023193,
2025-04-03,ASAI3.SA,,8.31527042388916,
2025-04-04,ASAI3.SA,,7.8620686531066895,
2025-04-07,ASAI3.SA,,7.89162540435791,
2025-04-08,ASAI3.SA,,7.556649684906006,
2025-04-09,ASAI3.SA,,8.078817367553711,
2025-04-10,ASAI3.SA,,8.098522186279297,
2025-04-11,ASAI3.SA,,8.177339553833008,
2025-04-14,ASAI3.SA,,8.29556655883789,
2025-04-15,ASAI3.SA,,8.167487144470215,
2025-04-16,ASAI3.SA,,8.177339553833008,
2025-04-17,ASAI3.SA,,8.137930870056152,
2025-04-22,ASAI3.SA,,8.256156921386719,
2025-04-23,ASAI3.SA,,8.571428298950195,
2025-04-24,ASAI3.SA,,8.985221862792969,
2025-04-25,ASAI3.SA,,9.103447914123535,
2025-04-28,ASAI3.SA,,9.088197708129883,
2025-04-29,ASAI3.SA,,8.979653358459473,
2025-04-30,ASAI3.SA,,9.068462371826172,
2025-05-02,ASAI3.SA,,9.048727035522461,
2025-05-05,ASAI3.SA,,9.147404670715332,
2025-05-06,ASAI3.SA,,8.910578727722168,
2025-05-07,ASAI3.SA,,9.009256362915039,
2025-05-08,ASAI3.SA,,9.27568531036377,
2025-05-09,ASAI3.SA,,9.601320266723633,
2025-05-12,ASAI3.SA,,9.463172912597656,
2025-05-13,ASAI3.SA,,9.413833618164062,
2025-05-14,ASAI3.SA,,9.29542064666748,
2025-05-15,ASAI3.SA,,9.51251220703125,
2025-05-16,ASAI3.SA,,9.798676490783691,
2025-05-19,ASAI3.SA,,10.035502433776855,
2025-05-20,ASAI3.SA,,9.729601860046387,
2025-05-21,ASAI3.SA,,9.581585884094238,
2025-05-22,ASAI3.SA,,10.104576110839844,
2025-05-23,ASAI3.SA,,9.917089462280273,
2025-05-26,ASAI3.SA,,10.509153366088867,
2025-05-27,ASAI3.SA,,11.308442115783691,
2025-05-28,ASAI3.SA,,11.338045120239258,
2025-05-29,ASAI3.SA,,11.11108684539795,
2025-05-30,ASAI3.SA,,11.071616172790527,
2025-06-02,ASAI3.SA,,11.219632148742676,
2025-06-03,ASAI3.SA,,11.70315170288086,
2025-06-04,ASAI3.SA,,11.347912788391113,
2025-06-05,ASAI3.SA,,11.397252082824707,
2025-06-06,ASAI3.SA,,11.061748504638672,
2025-06-09,ASAI3.SA,,10.972938537597656,
2025-06-10,ASAI3.SA,,10.86439323425293,
2025-06-11,ASAI3.SA,,11.071616172790527,
2025-06-12,ASAI3.SA,,11.0518798828125,
2025-06-13,ASAI3.SA,,10.765715599060059,
2025-06-16,ASAI3.SA,,11.180161476135254,
2025-06-17,ASAI3.SA,,10.953203201293945,
2025-06-18,ASAI3.SA,,10.893996238708496,
2025-06-20,ASAI3.SA,,10.637434959411621,
2025-06-23,ASAI3.SA,,10.667038917541504,
2025-06-24,ASAI3.SA,,10.844657897949219,
2025-06-25,ASAI3.SA,,10.755847930908203,
2025-06-26,ASAI3.SA,,10.86439323425293,
2025-06-27,ASAI3.SA,,10.893996238708496,
2025-06-30,ASAI3.SA,,11.11108684539795,
2025-07-01,ASAI3.SA,,10.755847930908203,
2025-07-02,ASAI3.SA,,9.94669246673584,
2025-07-03,ASAI3.SA,,10.1144437789917,
2025-07-04,ASAI3.SA,,10.163783073425293,
2025-07-07,ASAI3.SA,,10.203253746032715,
2025-07-08,ASAI3.SA,,10.341402053833008,
2025-07-09,ASAI3.SA,,10.232856750488281,
2025-07-10,ASAI3.SA,,10.074973106384277,
2025-07-11,ASAI3.SA,,9.848014831542969,
2025-07-14,ASAI3.SA,,9.769072532653809,
2025-07-15,ASAI3.SA,,10.045370101928711,
2025-07-16,ASAI3.SA,,10.074973106384277,
2025-07-17,ASAI3.SA,,9.926957130432129,
2025-07-18,ASAI3.SA,,9.591453552246094,
2025-07-21,ASAI3.SA,,9.601320266723633,
2025-07-22,ASAI3.SA,,9.502643585205078,
2025-07-23,ASAI3.SA,,9.551982879638672,
2025-07-24,ASAI3.SA,,9.43356990814209,
2025-07-25,ASAI3.SA,,9.571717262268066,
2025-07-28,ASAI3.SA,,9.403965950012207,
2025-07-29,ASAI3.SA,,9.43356990814209,
2025-07-30,ASAI3.SA,,9.630924224853516,
2025-07-31,ASAI3.SA,,9.285552978515625,
2025-08-01,ASAI3.SA,,9.571717262268066,
2025-08-04,ASAI3.SA,,9.729601860046387,
2025-08-05,ASAI3.SA,,9.482908248901367,
